item	itemLabel
https://tre-test.wikibase.cloud/entity/Q47429	Abutilon chiriquinum A.Robyns
https://tre-test.wikibase.cloud/entity/Q47433	Abutilon demissum Fryxell
https://tre-test.wikibase.cloud/entity/Q47436	Abutilon divaricatum Turcz.
https://tre-test.wikibase.cloud/entity/Q47437	Abutilon divaricatum var. hintonii Fryxell
https://tre-test.wikibase.cloud/entity/Q47438	Abutilon durangense Rose & York
https://tre-test.wikibase.cloud/entity/Q47430	Abutilon cinereum Griseb.
https://tre-test.wikibase.cloud/entity/Q47434	Abutilon dianthum C.Presl
https://tre-test.wikibase.cloud/entity/Q47435	Abutilon dinteri Ulbr.
https://tre-test.wikibase.cloud/entity/Q47432	Abutilon cunninghamii Benth.
https://tre-test.wikibase.cloud/entity/Q47431	Abutilon costicalyx K.Schum. ex C.Takeuchi & G.L.Esteves
https://tre-test.wikibase.cloud/entity/Q47439	Abutilon ellipticum Schltdl.
https://tre-test.wikibase.cloud/entity/Q47462	Abutilon latipetalum G.L.Esteves & Krapov.
https://tre-test.wikibase.cloud/entity/Q47456	Abutilon glabriflorum Hochr.
https://tre-test.wikibase.cloud/entity/Q47457	Abutilon grandidentatum Fryxell
https://tre-test.wikibase.cloud/entity/Q47458	Abutilon holosericeum Scheele
https://tre-test.wikibase.cloud/entity/Q47459	Abutilon holwayi Rose
https://tre-test.wikibase.cloud/entity/Q47460	Abutilon jaliscanum Standl.
https://tre-test.wikibase.cloud/entity/Q47461	Abutilon lateritium Ulbr.
https://tre-test.wikibase.cloud/entity/Q47464	Abutilon macdougalii Rose & Standl.
https://tre-test.wikibase.cloud/entity/Q47461	Abutilon lateritium Ulbr.
https://tre-test.wikibase.cloud/entity/Q47463	Abutilon lemmonii S.Watson
https://tre-test.wikibase.cloud/entity/Q47462	Abutilon latipetalum G.L.Esteves & Krapov.
https://tre-test.wikibase.cloud/entity/Q47455	Abutilon fruticosum Guill. & Perr.
https://tre-test.wikibase.cloud/entity/Q47469	Abutilon nigricans G.L.Esteves & Krapov.
https://tre-test.wikibase.cloud/entity/Q47466	Abutilon malacum S.Watson
https://tre-test.wikibase.cloud/entity/Q47465	Abutilon macvaughii Fryxell
https://tre-test.wikibase.cloud/entity/Q47466	Abutilon malacum S.Watson
https://tre-test.wikibase.cloud/entity/Q47467	Abutilon mochisense Hochr.
https://tre-test.wikibase.cloud/entity/Q47468	Abutilon mucronatum J.E.Fryxell
https://tre-test.wikibase.cloud/entity/Q47470	Abutilon notolophium A.Gray
https://tre-test.wikibase.cloud/entity/Q47471	Abutilon orientale Standl. & Steyerm.
https://tre-test.wikibase.cloud/entity/Q47472	Abutilon pachecoanum Standl. & Steyerm.
https://tre-test.wikibase.cloud/entity/Q47474	Abutilon percaudatum Hochr.
https://tre-test.wikibase.cloud/entity/Q47473	Abutilon paranthemoides Griseb.
https://tre-test.wikibase.cloud/entity/Q47469	Abutilon nigricans G.L.Esteves & Krapov.
https://tre-test.wikibase.cloud/entity/Q47476	Abutilon pionense Ulbr.
https://tre-test.wikibase.cloud/entity/Q47478	Abutilon procerum Fryxell
https://tre-test.wikibase.cloud/entity/Q47475	Abutilon pinkavae Fryxell
https://tre-test.wikibase.cloud/entity/Q47476	Abutilon pionense Ulbr.
https://tre-test.wikibase.cloud/entity/Q47477	Abutilon pittieri Donn.Sm.
https://tre-test.wikibase.cloud/entity/Q47479	Abutilon purpusii Standl.
https://tre-test.wikibase.cloud/entity/Q47480	Abutilon pyramidale Turcz.
https://tre-test.wikibase.cloud/entity/Q47481	Abutilon scabrum S.Watson
https://tre-test.wikibase.cloud/entity/Q47482	Abutilon selerianum Ulbr.
https://tre-test.wikibase.cloud/entity/Q47483	Abutilon simulans Rose
https://tre-test.wikibase.cloud/entity/Q47484	Abutilon sphaerostaminum Hochr.
https://tre-test.wikibase.cloud/entity/Q47489	Abutilon thurberi A.Gray
https://tre-test.wikibase.cloud/entity/Q47485	Abutilon spicatum Kunth
https://tre-test.wikibase.cloud/entity/Q47493	Abutilon wrightii A.Gray
https://tre-test.wikibase.cloud/entity/Q47486	Abutilon straminicarpum Fryxell
https://tre-test.wikibase.cloud/entity/Q47487	Abutilon subsagittatum Hochr.
https://tre-test.wikibase.cloud/entity/Q47488	Abutilon tehuantepecense Fryxell
https://tre-test.wikibase.cloud/entity/Q47490	Abutilon tridens Standl. & Steyerm.
https://tre-test.wikibase.cloud/entity/Q47491	Abutilon tultitlanapense Hochr.
https://tre-test.wikibase.cloud/entity/Q47492	Abutilon wissadifolium Griseb.
https://tre-test.wikibase.cloud/entity/Q47494	Abutilon xanti A.Gray
https://tre-test.wikibase.cloud/entity/Q47497	Acacia amanda G.J.Leach
https://tre-test.wikibase.cloud/entity/Q47500	Acacia aneura var. microcarpa Pedley
https://tre-test.wikibase.cloud/entity/Q47504	Acacia areolata M.W.McDonald
https://tre-test.wikibase.cloud/entity/Q47501	Acacia angustissima var. oaxacana B.L.Turner
https://tre-test.wikibase.cloud/entity/Q47496	Acacia allenii D.H.Janzen
https://tre-test.wikibase.cloud/entity/Q47503	Acacia aptaneura Maslin & J.E.Reid
https://tre-test.wikibase.cloud/entity/Q47499	Acacia anastomosa Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47502	Acacia anserina Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47495	Acacia alaticaulis Kodela & Tindale
https://tre-test.wikibase.cloud/entity/Q47498	Acacia ammitia Pedley
https://tre-test.wikibase.cloud/entity/Q47508	Acacia atopa Pedley
https://tre-test.wikibase.cloud/entity/Q47509	Acacia baronii Villiers & Du Puy
https://tre-test.wikibase.cloud/entity/Q47507	Acacia aspera subsp. parviceps N.G.Walsh
https://tre-test.wikibase.cloud/entity/Q47505	Acacia argentina Pedley
https://tre-test.wikibase.cloud/entity/Q47514	Acacia bromilowiana Maslin
https://tre-test.wikibase.cloud/entity/Q47510	Acacia barrettiorum Lewington & Maslin
https://tre-test.wikibase.cloud/entity/Q47511	Acacia bartlei Maslin & J.E.Reid
https://tre-test.wikibase.cloud/entity/Q47512	Acacia besleyi Maslin
https://tre-test.wikibase.cloud/entity/Q47513	Acacia boormanii subsp. gibba K.J.Tucker
https://tre-test.wikibase.cloud/entity/Q47506	Acacia armigera R.W.Davis, K.R.Thiele & Cockerton
https://tre-test.wikibase.cloud/entity/Q47524	Acacia clelandii Pedley
https://tre-test.wikibase.cloud/entity/Q47522	Acacia clarksoniana Pedley
https://tre-test.wikibase.cloud/entity/Q47520	Acacia caurina Barneby & Zanoni
https://tre-test.wikibase.cloud/entity/Q47515	Acacia burrana Pedley
https://tre-test.wikibase.cloud/entity/Q47516	Acacia burrowsiana Maslin
https://tre-test.wikibase.cloud/entity/Q47519	Acacia catenulata subsp. occidentalis Maslin
https://tre-test.wikibase.cloud/entity/Q47517	Acacia caesaneura Maslin & J.E.Reid
https://tre-test.wikibase.cloud/entity/Q47518	Acacia camptocarpa Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47523	Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47521	Acacia citriodora Kodela & Maslin
https://tre-test.wikibase.cloud/entity/Q47533	Acacia dealbata subsp. subalpina Tindale & Kodela
https://tre-test.wikibase.cloud/entity/Q47528	Acacia collinsii Saff.
https://tre-test.wikibase.cloud/entity/Q47534	Acacia derwentiana A.M.Gray
https://tre-test.wikibase.cloud/entity/Q47526	Acacia cockertoniana Maslin
https://tre-test.wikibase.cloud/entity/Q47532	Acacia cyclocarpa Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47525	Acacia coatesii Maslin
https://tre-test.wikibase.cloud/entity/Q47527	Acacia collegialis Maslin
https://tre-test.wikibase.cloud/entity/Q47531	Acacia curryana Maslin
https://tre-test.wikibase.cloud/entity/Q47529	Acacia corusca J.P.Bull, S.J.Dillon & Brearley
https://tre-test.wikibase.cloud/entity/Q47529	Acacia corusca J.P.Bull, S.J.Dillon & Brearley
https://tre-test.wikibase.cloud/entity/Q47530	Acacia cummingiana Maslin
https://tre-test.wikibase.cloud/entity/Q47541	Acacia douglasica Pedley
https://tre-test.wikibase.cloud/entity/Q47544	Acacia euthycarpa subsp. oblanceolata S.Wright
https://tre-test.wikibase.cloud/entity/Q47539	Acacia dissimilis M.W.McDonald
https://tre-test.wikibase.cloud/entity/Q47542	Acacia emilioana Fortunato & Ciald.
https://tre-test.wikibase.cloud/entity/Q47535	Acacia diallaga Maslin & Buscumb
https://tre-test.wikibase.cloud/entity/Q47536	Acacia diastemata Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47538	Acacia dimorpha Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47543	Acacia equisetifolia Maslin & Cowie
https://tre-test.wikibase.cloud/entity/Q47537	Acacia dilloniorum Maslin
https://tre-test.wikibase.cloud/entity/Q47540	Acacia doreta Maslin
https://tre-test.wikibase.cloud/entity/Q47545	Acacia farnesiana var. guanacastensis H.D.Clarke, Seigler & Ebinger
https://tre-test.wikibase.cloud/entity/Q47546	Acacia fasciculata Kunth
https://tre-test.wikibase.cloud/entity/Q47554	Acacia globosa Bocage & Miotto
https://tre-test.wikibase.cloud/entity/Q47547	Acacia fecunda Maslin
https://tre-test.wikibase.cloud/entity/Q47550	Acacia fumosa Thulin
https://tre-test.wikibase.cloud/entity/Q47551	Acacia fuscaneura Maslin & J.E.Reid
https://tre-test.wikibase.cloud/entity/Q47553	Acacia gibsonii Maslin
https://tre-test.wikibase.cloud/entity/Q47549	Acacia fraternalis Maslin
https://tre-test.wikibase.cloud/entity/Q47548	Acacia forsteri Pedley
https://tre-test.wikibase.cloud/entity/Q47552	Acacia genistifolia subsp. platyphylla A.T.Webb
https://tre-test.wikibase.cloud/entity/Q47555	Acacia graciliformis Maslin & Buscumb
https://tre-test.wikibase.cloud/entity/Q47564	Acacia insolita subsp. recurva Maslin
https://tre-test.wikibase.cloud/entity/Q47557	Acacia harala Thulin & Al-Gifri
https://tre-test.wikibase.cloud/entity/Q47560	Acacia hirta M.Martens & Galeotti
https://tre-test.wikibase.cloud/entity/Q47565	Acacia kallunkiae J.W.Grimes & Barneby
https://tre-test.wikibase.cloud/entity/Q47559	Acacia hirsuta Schltdl.
https://tre-test.wikibase.cloud/entity/Q47558	Acacia hartwegii Benth.
https://tre-test.wikibase.cloud/entity/Q47559	Acacia hirsuta Schltdl.
https://tre-test.wikibase.cloud/entity/Q47563	Acacia infecunda Molyneux & Forrester
https://tre-test.wikibase.cloud/entity/Q47561	Acacia inceana subsp. latifolia Maslin
https://tre-test.wikibase.cloud/entity/Q47562	Acacia incognita Maslin & Buscumb
https://tre-test.wikibase.cloud/entity/Q47556	Acacia haematites Maslin
https://tre-test.wikibase.cloud/entity/Q47568	Acacia kraussiana subsp. madagascariensis Villiers & Du Puy
https://tre-test.wikibase.cloud/entity/Q47566	Acacia karina Maslin & Buscumb
https://tre-test.wikibase.cloud/entity/Q47573	Acacia leeuweniana Maslin
https://tre-test.wikibase.cloud/entity/Q47575	Acacia leprosa var. graveolens Maslin & D.J.Murphy
https://tre-test.wikibase.cloud/entity/Q47574	Acacia leprosa var. crassipoda Maslin & D.J.Murphy
https://tre-test.wikibase.cloud/entity/Q47572	Acacia latispina J.E.Burrows & S.M.Burrows
https://tre-test.wikibase.cloud/entity/Q47567	Acacia keigheryi Maslin
https://tre-test.wikibase.cloud/entity/Q47569	Acacia kulinensis Maslin
https://tre-test.wikibase.cloud/entity/Q47571	Acacia lapidosa Maslin
https://tre-test.wikibase.cloud/entity/Q47570	Acacia kulnurensis Kodela & Tindale
https://tre-test.wikibase.cloud/entity/Q47583	Acacia media M.Martens & Galeotti
https://tre-test.wikibase.cloud/entity/Q47585	Acacia mollicula M.Martens & Galeotti
https://tre-test.wikibase.cloud/entity/Q47579	Acacia macilenta Rose
https://tre-test.wikibase.cloud/entity/Q47578	Acacia limae Bocage & Miotto
https://tre-test.wikibase.cloud/entity/Q47577	Acacia lewisii Bocage & Miotto
https://tre-test.wikibase.cloud/entity/Q47582	Acacia mariae Pedley
https://tre-test.wikibase.cloud/entity/Q47584	Acacia minutissima Maslin
https://tre-test.wikibase.cloud/entity/Q47576	Acacia leprosa var. uninervia Maslin & D.J.Murphy
https://tre-test.wikibase.cloud/entity/Q47581	Acacia macraneura Maslin & J.E.Reid
https://tre-test.wikibase.cloud/entity/Q47580	Acacia mackenziei Maslin & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47593	Acacia olivensana G.P.Lewis
https://tre-test.wikibase.cloud/entity/Q47595	Acacia oviedoensis R.G.García & M.M.Mejía
https://tre-test.wikibase.cloud/entity/Q47586	Acacia monacantha Willd.
https://tre-test.wikibase.cloud/entity/Q47591	Acacia nicoyensis Schenck
https://tre-test.wikibase.cloud/entity/Q47589	Acacia nanopravissima Molyneux & Forrester
https://tre-test.wikibase.cloud/entity/Q47588	Acacia muriculata Maslin & Buscumb
https://tre-test.wikibase.cloud/entity/Q47587	Acacia mulganeura Maslin & J.E.Reid
https://tre-test.wikibase.cloud/entity/Q47592	Acacia obtriangularis Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47594	Acacia orthotropica Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47590	Acacia nicholsonensis Cuff
https://tre-test.wikibase.cloud/entity/Q47605	Acacia polhillii Villiers & Du Puy
https://tre-test.wikibase.cloud/entity/Q47598	Acacia pennatula subsp. parvicephala Seigler & Ebinger
https://tre-test.wikibase.cloud/entity/Q47604	Acacia piptadenioides G.P.Lewis
https://tre-test.wikibase.cloud/entity/Q47601	Acacia petrensis Thulin
https://tre-test.wikibase.cloud/entity/Q47599	Acacia pentadenia subsp. syntoma J.E.Reid, Ward.-Johnson & Maslin
https://tre-test.wikibase.cloud/entity/Q47603	Acacia phacelia Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47600	Acacia perpusilla Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47596	Acacia parkerae Maslin
https://tre-test.wikibase.cloud/entity/Q47602	Acacia petricola Maslin
https://tre-test.wikibase.cloud/entity/Q47597	Acacia parvifoliolata Pedley
https://tre-test.wikibase.cloud/entity/Q47608	Acacia praecox Griseb.
https://tre-test.wikibase.cloud/entity/Q47606	Acacia polyphylla var. giganticarpa G.P.Lewis
https://tre-test.wikibase.cloud/entity/Q47615	Acacia ruddiae D.H.Janzen
https://tre-test.wikibase.cloud/entity/Q47611	Acacia ricoae Bocage & Miotto
https://tre-test.wikibase.cloud/entity/Q47607	Acacia polyphylla var. rhytidocarpa L.Rico
https://tre-test.wikibase.cloud/entity/Q47612	Acacia riograndensis Atahuachi & L.Rico
https://tre-test.wikibase.cloud/entity/Q47613	Acacia robeorum Maslin
https://tre-test.wikibase.cloud/entity/Q47614	Acacia rostriformis Maslin & D.J.Murphy
https://tre-test.wikibase.cloud/entity/Q47610	Acacia pteraneura Maslin & J.E.Reid
https://tre-test.wikibase.cloud/entity/Q47609	Acacia prolata Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47616	Acacia sakalava var. hispida Villiers & Du Puy
https://tre-test.wikibase.cloud/entity/Q47621	Acacia simmonsiana O'Leary & Maslin
https://tre-test.wikibase.cloud/entity/Q47619	Acacia seclusa M.W.McDonald
https://tre-test.wikibase.cloud/entity/Q47622	Acacia sousae L.Rico
https://tre-test.wikibase.cloud/entity/Q47617	Acacia santosii G.P.Lewis
https://tre-test.wikibase.cloud/entity/Q47618	Acacia schottii Torr.
https://tre-test.wikibase.cloud/entity/Q47625	Acacia sporadica N.G.Walsh
https://tre-test.wikibase.cloud/entity/Q47624	Acacia splendens Maslin & C.P.Elliott
https://tre-test.wikibase.cloud/entity/Q47623	Acacia spectra Lewington & Maslin
https://tre-test.wikibase.cloud/entity/Q47620	Acacia shapelleae Maslin
https://tre-test.wikibase.cloud/entity/Q47635	Acacia tavaresorum Rizzini
https://tre-test.wikibase.cloud/entity/Q47634	Acacia tabula Molyneux & Forrester
https://tre-test.wikibase.cloud/entity/Q47626	Acacia stanleyi Maslin
https://tre-test.wikibase.cloud/entity/Q47633	Acacia synoria Maslin
https://tre-test.wikibase.cloud/entity/Q47631	Acacia sulcaticaulis Maslin & Buscumb
https://tre-test.wikibase.cloud/entity/Q47627	Acacia steedmanii subsp. borealis Maslin
https://tre-test.wikibase.cloud/entity/Q47629	Acacia subcontorta Maslin
https://tre-test.wikibase.cloud/entity/Q47630	Acacia subtiliformis Maslin
https://tre-test.wikibase.cloud/entity/Q47628	Acacia stictophylla Court ex Maslin & D.J.Murphy
https://tre-test.wikibase.cloud/entity/Q47632	Acacia synantha Maslin, M.D.Barrett & R.L.Barrett
https://tre-test.wikibase.cloud/entity/Q47641	Acacia tumida var. extenta M.W.McDonald
https://tre-test.wikibase.cloud/entity/Q47642	Acacia tumida var. kulparn M.W.McDonald
https://tre-test.wikibase.cloud/entity/Q47636	Acacia tenuifolia var. producta J.W.Grimes
https://tre-test.wikibase.cloud/entity/Q47639	Acacia trijuga Rizzini
https://tre-test.wikibase.cloud/entity/Q47643	Acacia umbraculiformis Maslin & Buscumb
