typification	typificationLabel
Q47316	Holotype
Q47317	Allotype
Q47318	Paratype
Q47319	Neotype
Q47320	Syntype
Q47321	Lectotype
Q47322	Paralectotype
Q47323	Isotype
Q47324	Notatype
Q47325	Type
Q47326	Isolectotype
Q47327	Isosyntype
Q47328	Topotype
Q47329	Cotype
Q47330	Hypotype
Q47331	Epitype
Q47332	Original Material
Q47333	Extype
Q47334	Iconotype
Q47337	Lectotype of Quercus robur L.
Q62777	UPS:BOT:V-175663: lectotype of Quercus robur L.
Q62778	http://n2t.net/ark:/65665/362ebb657-56ad-4846-954c-40707e69452c: holotype of Abutilon chiriquinum A.Robyns
Q62779	http://n2t.net/ark:/65665/344fb58d2-6252-4bb3-9832-9de4bddbdc13: holotype of Abutilon durangense Rose & York
Q62780	BRA:IBT:SP:427086: holotype of Abutilon costicalyx K.Schum. ex C.Takeuchi & G.L.Esteves
Q62781	http://n2t.net/ark:/65665/3fa9cff95-cc1c-4fee-a933-65f95bb2ce63: isotype of Abutilon esculentum A.St.-Hil.
Q62782	4331301: isotype of Abutilon esculentum A.St.-Hil.
Q62783	gbif:2451317635: holotype of Abutilon cinereum Griseb.
Q62784	gbif:1638359977: holotype of Abutilon cinereum Griseb.
Q62785	BRA:IBT:SP:345993: holotype of Abutilon latipetalum G.L.Esteves & Krapov.
Q62786	2a24c4cf-8c1a-4d38-8924-30dff87a0ce5: holotype of Abutilon glabriflorum Hochr.
Q62787	39679f1b-1358-4d68-ae2f-495f1f7b555b: holotype of Abutilon grandidentatum Fryxell
Q62788	447d2f10-257c-41d6-971c-96046a6a1b1f: isotype of Abutilon holosericeum Scheele
Q62789	248b2d5c-335d-4d54-bb34-35e9105a61e0: isotype of Abutilon holosericeum Scheele
Q62790	a95fed61-fc7b-4699-90e0-e6f4d3bb2254: isotype of Abutilon holosericeum Scheele
Q62791	91d785d8-c17a-442a-a401-e8a3a4acd0bb: isotype of Abutilon holosericeum Scheele
Q62792	http://n2t.net/ark:/65665/3275bab99-bd01-4566-82a7-21d4f4d4631d: isotype of Abutilon holosericeum Scheele
Q62793	http://n2t.net/ark:/65665/31d75d107-e177-4059-a280-63fe54a40c2e: isotype of Abutilon holosericeum Scheele
Q62794	http://n2t.net/ark:/65665/3c889b9b0-d70e-47df-90b6-111216db54e6: holotype of Abutilon holwayi Rose
Q62795	0431c3c1-ba58-4a61-99ca-c2a82952c4ca: holotype of Abutilon jaliscanum Standl.
Q62796	d0547cd7-f5a2-4b78-98b6-d8498c5e16ed: lectotype of Abutilon lateritium Ulbr.
Q62797	http://n2t.net/ark:/65665/3414d91b3-1e8c-498b-a749-0d3f6c0ede05: holotype of Abutilon macdougalii Rose & Standl.
Q62798	d0e16aa4-6b44-4f9f-99bc-134d681b3075: lectotype of Abutilon lemmonii S.Watson
Q62799	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00389227: isotype of Abutilon fruticosum Guill. & Perr.
Q62800	BRA:IBT:SP:299525: isotype of Abutilon nigricans G.L.Esteves & Krapov.
Q62801	BRA:UNICAMP:UEC:83954: holotype of Abutilon nigricans G.L.Esteves & Krapov.
Q62802	613f839b-549c-4161-b356-769a8fb98990: lectotype of Abutilon malacum S.Watson
Q62803	c1eb8bf0-1422-444c-9b2c-7dd4311b061d: lectotype of Abutilon malacum S.Watson
Q62804	urn:catalog:MO:Tropicos:100337351: holotype of Abutilon macvaughii Fryxell
Q62805	39f9341b-d3a1-4626-a743-694e2d02831a: holotype of Abutilon macvaughii Fryxell
Q62806	45373878-630a-4a03-8347-4655e9a2bcf7: holotype of Abutilon mochisense Hochr.
Q62807	15895c01819d863e3ad53b53b0324cfb: holotype of Abutilon mucronatum J.E.Fryxell
Q62808	43e658a5-0e41-4611-8003-a5f8ef992fce: lectotype of Abutilon notolophium A.Gray
Q62809	137f2354-5ea7-4d0c-a3a1-060ea9548e61: holotype of Abutilon orientale Standl. & Steyerm.
Q62810	http://n2t.net/ark:/65665/339282020-cf4b-46eb-822d-eacd781c964e: isotype of Abutilon pachecoanum Standl. & Steyerm.
Q62811	fc7d94b8-c30e-4ec9-b38e-706609c87f9c: holotype of Abutilon percaudatum Hochr.
Q62812	gbif:1638359952: holotype of Abutilon paranthemoides Griseb.
Q62813	1cfdc43d-f0b4-4171-99d7-22291e4b2145: lectotype of Abutilon pionense Ulbr.
Q62814	ff411b5697456aee5db0cc286d3aa9ce: holotype of Abutilon procerum Fryxell
Q62815	838868be-9713-4fa5-b711-433f32f78495: holotype of Abutilon pinkavae Fryxell
Q62816	http://n2t.net/ark:/65665/3085cd06a-a3b8-4157-b8ee-104d14b2bf33: holotype of Abutilon pittieri Donn.Sm.
Q62817	http://n2t.net/ark:/65665/3070b5471-4cec-4ee2-afc6-3b5164a16004: holotype of Abutilon purpusii Standl.
Q62818	http://coldb.mnhn.fr/catalognumber/mnhn/p/p02285590: isotype of Abutilon pyramidale Turcz.
Q62819	362e1ec8-bc63-46a3-88d2-95fbf2a032cf: lectotype of Abutilon scabrum S.Watson
Q62820	f6b789d8-481b-4c04-81e2-0af9f7438c08: isotype of Abutilon selerianum Ulbr.
Q62821	http://n2t.net/ark:/65665/354c9e1f1-b63f-4b80-b4f7-5902a43ac925: holotype of Abutilon simulans Rose
Q62822	2f431997-c4b9-4f41-9314-9deae662c4c5: holotype of Abutilon sphaerostaminum Hochr.
Q62823	30462dc1-4d75-4354-97b0-b8da6f7cde62: holotype of Abutilon thurberi A.Gray
Q62824	http://coldb.mnhn.fr/catalognumber/mnhn/p/p00679721: holotype of Abutilon spicatum Kunth
Q62825	52003391-827b-48ad-9c6a-66115b25c392: holotype of Abutilon wrightii A.Gray
Q62826	4371becc-b2a4-42f0-b49f-892815304d8a: holotype of Abutilon straminicarpum Fryxell
Q62827	a15f972c-f78b-4fb3-9b32-7b9ae965753d: holotype of Abutilon subsagittatum Hochr.
Q62828	871b93f8-eda5-4dd0-a08e-6265b429bf8a: holotype of Abutilon tehuantepecense Fryxell
Q62829	ace822a1-8bb2-4c7a-b427-34f11115b1a3: lectotype of Abutilon tridens Standl. & Steyerm.
Q62830	ff81643e-0af3-4680-837b-ba8407618df1: holotype of Abutilon tultitlanapense Hochr.
Q62831	gbif:2451326637: lectotype of Abutilon wissadifolium Griseb.
