typification	typificationLabel
Q180477	02fdb97e-f9fd-42fe-80cf-1610f92ff151: holotype of Polygonum sawatchense subsp. oblivium Costea & Tardif
Q180478	02fee275-c644-40bc-8d63-e4d2d18cd922: isotype of Rhynchospora megaplumosa E.L.Bridges & Orzell
Q180479	03007d0d-cfd4-443e-8574-bad27d873c12: isotype of Indigofera oraria Peter G.Wilson & Rowe
Q180480	0302d412-8c41-4495-aef2-80bf06bbe75e: holotype of Pappobolus andinus Panero
Q180481	030729cf-8073-4c6b-88c9-dc6c44748eed: isotype of Zieria exsul Duretto & P.I.Forst.
Q180482	03083c21-cc9d-4887-8111-42ee569fcc6a: lectotype of Hieracium apoloense Rusby
Q180483	0308463f-0031-4166-8ff6-234c8d11a9a1: holotype of Calochilus kalaru D.L.Jones
Q180484	0309b418-b2dc-49d4-92c7-cb97bacc3b85: isotype of Platylobium reflexum I.Thomps.
Q180485	030cf14c-f3e2-42f5-9bcb-3f486bb53163: holotype of Guichenotia impudica C.F.Wilkins
Q180486	030f2749-0fe5-4ba7-a790-01dbf833e1dc: isotype of Manihot nogueirae Allem
Q180487	0311cf43-d2c2-4a2b-8d02-0e804de09323: holotype of Leionema lamprophyllum subsp. fractum S.A.J.Bell
Q180488	032aba42-2353-4e66-9a8e-6904451ecffe: isotype of Mezia mariposa W.R.Anderson
Q180489	032c2c86-74fe-42e5-9158-6652345a6069: isotype of Ranunculus meristus B.G.Briggs & Makinson
Q180490	032ec383-163c-4a91-8f4d-e1a3ed816863: lectotype of Kuhnistera occidentalis A.Heller
Q180491	032fe756-344b-4e6b-833f-866e3a6905d3: holotype of Saurauia aguaricana Soejarto
Q180492	03303929-b5d2-491d-8572-ed51f7a093c3: isotype of Borya stenophylla M.D.Barrett
Q180493	03365af1-ba8b-11e3-8cfe-90b11c41863e: isotype of Pellaea ternifolia subsp. villosa Windham
Q180494	03399670-b866-4f83-ad54-1fa4d59110c9: isotype of Eriogonum saxatile S.Watson
Q180495	033a4cbc-a699-4314-b486-4308a2033f61: isotype of Heuchera woodsiaphila P.J.Alexander
Q180496	033c3d0e-60f5-4723-8c90-8eaca2d87914: isotype of Stigmaphyllon arenicola C.E.Anderson
Q180497	0341d236-c74b-41ae-b7cb-f86a7f22eb13: holotype of Ceratostema oellgaardii Luteyn
Q180498	03135b68-b09f-4b1b-a46e-d81c5c45b16e: lectotype of Fremontia californica Torr.
Q180499	0314a1ce-ea0e-46d1-92d4-01531f5337b1: neotype of Hulsea nana var. larsenii A.Gray
Q180500	031773f4-7d75-4e15-91b2-970a321960e9: isotype of Corydalis amphipogon Lidén
Q180501	0318cb05-4cbe-48d0-bad3-55981b87573b: isotype of Hakea asperma Molyneux & Forrester
Q180502	0318f435-30ed-4701-881b-cc3ca931be7b: isotype of Enterolobium blanchetii Benth.
Q180503	03196ccb-d362-4c05-a90e-725b5952bd7a: isotype of Eriogonum evanidum Reveal
Q180504	031aa6bd-c7cd-4470-93f1-c94275d6a0c7: isotype of Gymnocarpium appalachianum Pryer & Haufler
Q180505	031db0f5-ba3a-4c02-9bce-0a9910d4d477: isotype of Spermacoce suprahila Harwood
Q180506	03205ca5-46f3-42b6-840e-7b5047b0e72d: holotype of Selaginella basipilosa Valdespino
Q180507	0327dc38-0ef0-4a22-90ac-8267fb085b63: isotype of Polygala bifoliata R.A.Kerrigan
Q180508	03424670-2156-430e-8c99-956e2ad1e83e: holotype of Fernandezia dorriana Ormerod
Q180509	0343004c-7c14-4129-96bd-e34540b7adba: isotype of Gongora tridentata Whitten
Q180510	03444f14-3b78-4b38-a527-28db6e64b4c1: isotype of Pectis pumila D.J.Keil
Q180511	0345ef7a-341c-45ff-aa41-250edf4941cf: holotype of Psychotria leiantha Steyerm.
Q180512	03482f59-37e7-48f4-bf90-a6d57e3acd6e: lectotype of Encyclia atropurpurea var. rhodoglossa Schltr.
Q180513	0348ab8f-f6fb-4a73-95d5-150c4e420d64: isotype of Cryptocentrum caespitosum Carnevali
Q180514	034ab640-7d11-49c6-9db8-30eb29c1b12d: isolectotype of Lippia variifolia Urb.
Q180515	034f2d5a-b266-4b20-86ba-d3c152bc588e: isotype of Hibbertia lepidocalyx subsp. tuberculata J.R.Wheeler
Q180516	03569fb3-e4b8-4965-837a-91e1a49216a1: isotype of Verbena ciliata Benth.
Q180527	036ea1b3-09cd-4a75-b74b-72f83c5264c1: isotype of Croton decalvatus Esser
Q180528	03794e96-fbe5-41db-aac8-0e484900f5dd: isotype of Epistephium garayi Szlach., Mytnik & Baranow
Q180529	0382917a-efe9-4950-ac40-7714ee7c02cd: holotype of Psychopterys ornata W.R.Anderson & S.Corso
Q180530	0386e5d964df50a7bfc61634c899eabb: isotype of Philodendron lazorii Croat
Q180531	038b473e-6c40-4bb5-9758-8a17f36fd0a7: isotype of Hibbertia asterella K.R.Thiele
Q180532	038e53f9-b87a-459f-a980-6b9a9a733a32: holotype of Justicia caudata A.Gray
Q180517	035be8a7-beb9-40af-ae3d-c65dbc3019b7: isotype of Hibiscus fryxellii var. mollis Craven, F.D.Wilson & Fryxell
Q180518	035e4a38-95a1-4e14-b1b9-70c91b318133: isotype of Scutellaria khaoyaiensis A.J.Paton
Q180519	036189ec-4573-480c-8d0c-e0a67add43cf: isotype of Philodendron cremersii Croat & Grayum
Q180520	03634421-1f21-4249-8743-5c3cc09b3424: holotype of Ravnia longifilamentosa Steyerm.
Q180521	03656037-ba8b-11e3-8cfe-90b11c41863e: isotype of Polypodium saximontanum Windham
Q180522	0366b941-3b09-4007-85a6-4ea9bef7cfaf: lectotype of Calliandra unijuga Rose
Q180523	036766cd-512c-42f3-890d-454c0f96cbee: isotype of Drosera margaritacea T.Krueger & A.Fleischm.
Q180524	036b7b9b-ebaa-4782-946e-573bfc8c7ed2: holotype of Mandevilla tristis J.F.Morales
Q180525	036cd7ce0bdf2c653b8823857cdf990e: holotype of Gentianella canosoi G.L.Nesom & B.L.Turner
Q180526	036d0fca-170d-4b63-b515-fae0119e9564: isotype of Mimosa gracilis var. stipitata Barneby
Q180533	038f0769-ba8b-11e3-8cfe-90b11c41863e: isotype of Calopogon oklahomensis D.H.Goldman
Q180534	03994018-71cf-45f5-9a50-cb0371335108: neotype of Psoralea brachystachya Spruce ex Diels
Q180535	039EA0D4-52A2-4571-BCD3-1130A66BE146: holotype of Parahebe spectabilis Garn.-Jones
Q180536	039b7eadf053d70430327edbbd066642: holotype of Nectandra longicuspis Lundell
Q180537	039dcca9-a4dd-45a0-b93d-e130879cf7c4: isotype of Verbesina ampliatifolia Sagást. & Quip.
Q180538	039f26cfb4c5489ffb21d2512206dbea: holotype of Siparuna austromexicana Lorence
Q180539	03D8592E-F463-4966-8C1A-377D0C588B72: holotype of Lepidium montanum var. claronense S.L.Welsh
Q180540	03DF74B8-4DE9-4C45-A915-387963B126A3: holotype of Cardamine thalassica Heenan
Q180541	03a27aec-c661-40e0-8d9a-ed5f88ff9183: isotype of Solanum orgadophilum A.R.Bean
Q180542	03a2ccbd-c72b-42fe-ba90-04a4f2115305: isotype of Pleurothyrium bilocellatum van der Werff
Q180543	03a3ac2c-642f-44cf-a3ed-ffba184027b5: isotype of Solanum francisii A.R.Bean
Q180544	03a5bbe1-3a4c-4b85-a125-193e2648ffdf: isotype of Cyperus wilburii G.C.Tucker
Q180545	03af3891-6bab-4081-818a-f86bb8fa2c4a: holotype of Malvastrum tomentosum subsp. pautense S.R.Hill
Q180546	03b192df-b8fe-4190-ac15-de552c05b4ae: isotype of Senecio extensus I.Thomps.
Q180547	03b7af36-ade8-40ce-8c3c-73ebcf256e83: holotype of Guatteria elegans Scharf
Q180548	03bdc6f9-c357-4927-a725-e87027cbc6fa: isotype of Pouzolzia petiolata Rusby
Q180549	03be2786-d615-4186-9e5a-19d9a4faedb2: isotype of Cohniella yucatanensis Cetzal & Carnevali
Q180550	03bff45e-b482-4c7e-a918-8ead71bacf6d: holotype of Chrysocephalum apiculatum subsp. gracile Paul G.Wilson
Q180551	03c06128-e727-485d-bb34-325d1e10d593: isotype of Senecio halophilus I.Thomps.
Q180552	03c308c8-162b-4de4-bdd5-ada713ab97ea: holotype of Trichostema nesophilum K.S.McClell. & Weakley
Q180553	03c886ce-5a24-46ac-b823-24f9da27f2b7: isotype of Vellozia semirii Mello-Silva & N.L.Menezes
Q180554	03c8a250-a72c-4cba-9f08-c6056cb18a8c: isotype of Indigofera fractiflexa Peter G.Wilson & Rowe
Q180555	03ca282b-ba8b-11e3-8cfe-90b11c41863e: isotype of Pappobolus sanchezii Panero
Q180556	03cb2dc0-403b-4f7e-9df2-e1d79765635b: holotype of Drosera bulbosa subsp. coronata R.P.Gibson
Q180557	03cf84e3-2249-4d4b-ba18-fd898f2b03d8: isotype of Malmea dimera Chatrou
Q180558	03d152bd-dc62-4236-85d8-30e776f4a0b1: isotype of Senecio niveoplanus I.Thomps.
Q180559	03d490b2-5653-4223-9317-692354e5dce3: isotype of Sturmia kappleri Rchb.f.
Q180560	03d4c42a-597d-4883-8c69-177a580f002d: isotype of Centipeda borealis N.G.Walsh
Q180561	03e15a19-6487-4c6a-81a7-891017300ad4: isotype of Pilidiostigma sessile N.Snow
Q180562	03e33cce-6477-4204-b055-7d7b24adef7d: isotype of Philodendron pokigronense Croat
Q180563	03e38ef9-1f71-4d29-a43f-7c1997ec4d22: isotype of Ricinocarpos verrucosus Halford & R.J.F.Hend.
Q180564	03e44de8-51b7-406a-923b-1f5a4da6df81: isotype of Melaleuca atroviridis Craven & Lepschi
Q180565	03e5bf10-a3ad-4dcc-bca8-2b8c5247920e: isotype of Globba pycnostachys Sangvir. & M.F.Newman
Q180566	03f0ded9-96f7-4757-9435-8920d0279864: holotype of Mirabilis laevis var. cordifolia Dunkle
Q180567	03f1751b-7076-4a39-829c-6fcc6a9936ec: holotype of Bunochilus loganii D.L.Jones
Q180568	03f3d999-29d3-47bc-bbc6-6bd47d6cdd7f: holotype of Camellia oconoriana Orel, Curry & Luu
Q180569	03f7f4ec-82f4-444b-b166-e943da5a1e4e: isotype of Markea antioquiensis S.Knapp
Q180570	03fa22ef-4948-442d-bceb-5096a4398d93: isotype of Leptocarpus thysananthus B.G.Briggs
Q180571	03fde42e-7059-4d04-aaa9-2aa8d8b0551a: holotype of Hordeum erectifolium Bothmer, N.Jacobsen & R.B.Jørg.
Q180572	03fe8a22-c5a7-45b1-9bbe-53be75ef1c0a: holotype of Eriogonum ursinum var. erubescens Reveal & J.D.Knorr
Q180573	03ff641d-b5e0-447b-8c3c-e31bb5a053f3: isotype of Cuphea cunninghamiifolia T.B.Cavalc.
Q180574	0400c7c1-0cfb-477b-a4fe-4d0114eb2829: holotype of Ceratostema oyacachiensis Luteyn
Q180575	0402dece-e984-41fa-9367-50784dc16b06: isotype of Ivesia rhypara Ertter & Reveal
Q180576	0406b980-e97f-4a03-83c7-ff2c5ba5fb20: lectotype of Ecbolium chamaeranthemodes Kuntze
Q180577	040736b2-bf1e-4e60-b50b-0dbb45e6f748: isotype of Cynanchum racemosum var. cyathiforme Sundell
Q180578	0408d861-933a-423c-aa0d-0c82dc951abb: isotype of Cassinia maritima Orchard
Q180579	040f42c2-61b1-4c57-9f05-05f197530fce: holotype of Cynometra roseiflora W.E.Cooper
Q180580	0411d54f-d441-4b33-a51b-bb2b53148bc6: isotype of Coronidium kaputaricum Paul G.Wilson
Q180581	0419cf37-a844-482d-b64f-51e607187051: isotype of Megalastrum organense R.C.Moran, J.Prado & Labiak
Q180582	041af1dd-e4e2-428c-8b14-4c04f7351d0d: holotype of Coryphantha cuencamensis L.Bremer
Q180583	041b3bff-659f-4aad-be7a-30e4db07309d: holotype of Pentachaeta lyonii A.Gray
Q180584	041be456-d7b1-42e5-bf28-fec9b29cafab: isotype of Echinopepon belizensis A.K.Monro & Stafford
Q180585	041c4979-cc41-4296-a89c-cc746258a7fa: isotype of Olearia stenophylla N.G.Walsh
Q180586	041c796b-9f2c-41ab-b42a-2fd14ea54325: holotype of Psychotria tayabensis var. pinagteponanensis Sohmer & A.P.Davis
Q180587	041e2cee-eb5f-46e3-9289-73775139aed4: isotype of Heteropterys admirabilis Amorim
Q180588	0422A6DA-7DBF-4AE2-BA73-4E5A1A01518F: holotype of Cryptantha cinerea var. arenicola L.C.Higgins & S.L.Welsh
Q180589	04259d9f-1718-4e77-98ac-6c98ca7493c6: holotype of Brachyloma mogin Cranfield
Q180590	0428eb66-68a2-4f98-9891-9294eb78829f: isotype of Sloanea hirsuta subsp. australis T.D.Penn.
Q180591	04290d55-8d38-4c10-bb7a-03d06a99d6b4: isotype of Palicourea jaramilloi C.M.Taylor
Q180592	042F4721-70FF-4B3C-85FF-243E0A80D9B2: holotype of Hebe calcicola Bayly & Garn.-Jones
Q180593	042e9634a548713f5aedcb1c06ad0560: holotype of Polypodium thyssanolepis var. riograndense T.Wendt
Q180594	042eb958-3eb3-4df8-bc90-c13708c983f2: holotype of Mauria kunthii Renteria
Q180595	04326a64-6548-4253-8972-fa817d260e91: isotype of Eremophila forrestii subsp. capensis Chinnock
Q180596	04376f30-f457-49f2-b781-f8a2522f35f3: isotype of Etlingera frederikii A.D.Poulsen
Q180597	0439f723-9756-4e43-8d4f-f368fd843584: lectotype of Galphimia glauca f. parviflora Nied.
Q180598	043a856b-1b99-44a4-a77b-05659d2d3b64: isotype of Rhodomyrtus mengenensis N.Snow
Q180599	043ea527-3dbd-4e63-a657-6963e2903259: isotype of Senecio niveoplanus I.Thomps.
Q180600	043fd51d-894b-41eb-839f-503fe6889088: holotype of Callistemon purpurascens S.M.Douglas & S.David
Q180601	04427151-db7b-48a5-93aa-5cf0b25f5bf6: holotype of Prasophyllum stygium D.L.Jones & D.T.Rouse
Q180602	0446961e-b757-4a51-ae50-6c47530cbf48: isotype of Lobelia archeri N.G.Walsh
Q180603	04469939-0c1f-42f8-8642-9b3889c9abd1: isotype of Forsteronia manausana B.F.Hansen
Q180604	04501171-dfc1-4299-b7de-a1fb403c0252: isotype of Sloanea rugosa Dam.A.Sm.
Q180605	04528527-67f8-4a9e-af8f-41837de32717: isotype of Caladenia interjacens Hopper & A.P.Br.
Q180606	04531ae0-55bb-4810-8521-c376169f77c6: holotype of Photinia guerreris J.B.Phipps
Q180607	045526ec-5142-4492-b907-1a105857d117: isotype of Vernonia lanifera Cristóbal & Dematt.
Q180608	0458ca28-69ca-4cde-9726-52de018e8725: isolectotype of Embothrium valdivianum Gand.
Q180609	04640e6c-2737-4cca-ae53-304b1c95fc7c: isotype of Styphelia blackallii Hislop
Q180610	0469c1676788a6667d4a4bf29ca0af89: holotype of Carex vizarronensis Gómez-Sánchez, Cabrera-Luna, S.González & Reznicek
Q180611	0476df6e-722a-4113-9fa4-78c464b540e0: holotype of Hebeclinium costaricense R.M.King & H.Rob.
Q180612	047ba04c-ba8b-11e3-8cfe-90b11c41863e: isotype of Cymopterus constancei R.L.Hartm.
Q180613	0483ae63-72de-4136-b424-f811f12e3efa: holotype of Bunochilus macrosepalus D.L.Jones
Q180614	0485e15e-6a84-45a9-bfc4-0d39c6de394b: isotype of Rhynchosia filiformis Maesen
Q180615	04889655-af0e-4d22-af72-117a743ca166: isotype of Hypolepis cubensis Schwartsb.
Q180616	048b5a6d-6c67-40d7-b747-1a0a381437b7: holotype of Poa orba N.G.Walsh
Q180617	049024a6-2f3d-461b-bfdc-52be57a7b70d: holotype of Gynoxys colanensis M.O.Dillon & Sagást.
Q180618	04930e24-0b2e-43c9-91a0-4d5bd2667f64: holotype of Dalea gymnocodon Barneby
Q180619	04936a13-cb81-4faf-b264-d167882912ad: holotype of Sabal lougheediana M.P.Griff. & Coolen
Q180620	049439a7-c1c4-4d9a-972e-be6adaa696af: holotype of Hoya sigillatis T.Green
Q180621	0495cda5-83c2-4d2d-8ba3-cb2140fef416: isotype of Melaleuca zeteticorum Craven & Lepschi
Q180622	0498e6c8-d24d-42ff-8aec-7ecddaeb9fb2: isolectotype of Senecio millefolium Torr. & A.Gray
Q180623	0499908a-f010-41c8-8174-bbcaef596145: isotype of Solanum nuricum M.Nee
Q180624	049993c5-040d-4f31-bab2-0e9f3aae32db: holotype of Eutaxia exilis C.F.Wilkins & G.R.Hend.
Q180625	049eca21-b877-400f-8e30-3d6f9057ebbc: holotype of Phebalium stellatum I.Telford & J.J.Bruhl
Q180626	049f23d5-398c-4a3f-88c7-93a0c6da8409: isotype of Chamaedorea plumosa Hodel
