fullname	ipni	authorship	taxonKey	taxonRank	rank
Boronia barrettiorum Duretto	77079926-1	Duretto	3831939	species	Q16
Boronia beeronensis Duretto	20012526-1	Duretto	3831929	species	Q16
Boronia boliviensis J.B.Williams & J.T.Hunter	77084040-1	J.B.Williams & J.T.Hunter	3831840	species	Q16
Boronia citriodora subsp. orientalis Duretto	20012510-1	Duretto	3831599	subspecies	Q17
Boronia citriodora subsp. paulwilsonii Duretto	20012509-1	Duretto	3831589	subspecies	Q17
Boronia clavata subsp. grandis Duretto	77197191-1	Duretto	10692001	subspecies	Q17
Boronia cremnophila R.L.Barrett, M.D.Barrett & Duretto	77153482-1	R.L.Barrett, M.D.Barrett & Duretto	8796907	species	Q16
Boronia deanei subsp. acutifolia Duretto	20012524-1	Duretto	3831173	subspecies	Q17
Boronia denticulata subsp. whoogarupensis Duretto	77197192-1	Duretto	10723599	subspecies	Q17
Boronia elisabethiae Duretto	20012513-1	Duretto	3838185	species	Q16
Boronia gravicocca Duretto	20012528-1	Duretto	3838000	species	Q16
Boronia grimshawii Duretto	20012525-1	Duretto	3837745	species	Q16
Boronia hapalophylla Duretto, F.J.Edwards & P.G.Edwards	77065814-1	Duretto, F.J.Edwards & P.G.Edwards	3837697	species	Q16
Boronia hemichiton Duretto	20012512-1	Duretto	3837690	species	Q16
Boronia imlayensis Duretto	20012508-1	Duretto	3837527	species	Q16
Boronia inflexa Duretto	20012464-1	Duretto	7269542	species	Q16
Boronia inflexa subsp. torringtonensis Duretto	20012470-1	Duretto	3837476	subspecies	Q17
Boronia interrex R.L.Barrett, M.D.Barrett & Duretto	77153483-1	R.L.Barrett, M.D.Barrett & Duretto	8986835	species	Q16
Boronia marcoana R.L.Barrett & M.D.Barrett	77153484-1	R.L.Barrett & M.D.Barrett	9215685	species	Q16
Boronia montimulliganensis Duretto	20012459-1	Duretto	3836823	species	Q16
Boronia occidentalis Duretto	20012462-1	Duretto	3836241	species	Q16
Boronia palasepala Duretto	1007193-1	Duretto	3836594	species	Q16
Boronia pilosa subsp. parvidaemonis Duretto	20012519-1	Duretto	3836430	subspecies	Q17
Boronia pilosa subsp. tasmanensis Duretto	20012514-1	Duretto	3836408	subspecies	Q17
Boronia pilosa subsp. torquata Duretto	20012515-1	Duretto	3836396	subspecies	Q17
Boronia rozefeldsii Duretto	20012522-1	Duretto	3835786	species	Q16
Boronia thedae R.L.Barrett, M.D.Barrett & Duretto	77153485-1	R.L.Barrett, M.D.Barrett & Duretto	9140753	species	Q16
Boronia warangensis Duretto	20012460-1	Duretto	3834880	species	Q16
Boronia yarrowmerensis Duretto	20012461-1	Duretto	3834806	species	Q16
Boronia zeteticorum Duretto	77096010-1	Duretto	3834798	species	Q16
Borreria amapaensis E.L.Cabral & Bacigalupo	77061507-1	E.L.Cabral & Bacigalupo	3845780	species	Q16
Borreria apodiensis E.L.Cabral, L.M.Miguel & E.B.Souza	77175861-1	E.L.Cabral, L.M.Miguel & E.B.Souza	10561087	species	Q16
Borreria capillaris Correll	273400-2|34893-2	Correll	2918876	species	Q16
Borreria carajasensis E.L.Cabral & L.M.Miguel	77126040-1	E.L.Cabral & L.M.Miguel	7809703	species	Q16
Borreria catolensis E.L.Cabral & L.M.Miguel	77129247-1	E.L.Cabral & L.M.Miguel	7976666	species	Q16
Borreria cerradoana E.L.Cabral, R.M.Salas & J.D.Soto	77129240-1	E.L.Cabral, R.M.Salas & J.D.Soto	8032610	species	Q16
Borreria confertifolia Steyerm.	34911-2	Steyerm.	2918640	species	Q16
Borreria dichasia Sucre & C.G.Costa	34920-2	Sucre & C.G.Costa	2902191	species	Q16
Borreria felis-insulae Correll	273404-2|34936-2	Correll	2918613	species	Q16
Borreria gracilis L.O.Williams	34943-2	L.O.Williams	7452240	species	Q16
Borreria heteranthera E.L.Cabral & Sobrado	77146985-1	E.L.Cabral & Sobrado	10819002	species	Q16
Borreria intricata Steyerm.	34957-2	Steyerm.	2918616	species	Q16
Borreria johnwoodii E.L.Cabral & R.M.Salas	77116538-1	E.L.Cabral & R.M.Salas	7363919	species	Q16
Borreria krapocarmeniana E.L.Cabral & L.M.Miguel	77136108-1	E.L.Cabral & L.M.Miguel	8357093	species	Q16
Borreria laevis var. edentata Steyerm.	34959-2	Steyerm.	2918330	variety	Q18
Borreria multibracteata E.L.Cabral & Bacigalupo	77061508-1	E.L.Cabral & Bacigalupo	3849460	species	Q16
Borreria noronhensis Sucre	34990-2	Sucre	2918073	species	Q16
Borreria oligodonta Steyerm.	34995-2	Steyerm.	2918632	species	Q16
Borreria orientalis E.L.Cabral, R.M.Salas & L.M.Miguel	77125778-1	E.L.Cabral, R.M.Salas & L.M.Miguel	7526491	species	Q16
Borreria paranaensis E.L.Cabral & Bacigalupo	320110-2	E.L.Cabral & Bacigalupo	3849398	species	Q16
Borreria pazensis E.L.Cabral & Bacigalupo	60439257-2	E.L.Cabral & Bacigalupo	3849383	species	Q16
Borreria reflexa J.H.Kirkbr.	35018-2	J.H.Kirkbr.	2918719	species	Q16
Borreria santacruciana Bacigalupo & E.L.Cabral	60441550-2	Bacigalupo & E.L.Cabral	3849286	species	Q16
Borreria semiamplexicaulis E.L.Cabral	306355-2	E.L.Cabral	2918365	species	Q16
Borreria siberiana E.L.Cabral & R.M.Salas	77116539-1	E.L.Cabral & R.M.Salas	7519653	species	Q16
Borreria terminalis Small	310556-2|35058-2	Small	2918201	species	Q16
Borreria velascoana E.L.Cabral, R.M.Salas & J.D.Soto	77129242-1	E.L.Cabral, R.M.Salas & J.D.Soto	8827111	species	Q16
Borreria wunschmannii K.Schum.	35081-2	K.Schum.	2918218	species	Q16
Borya stenophylla M.D.Barrett	77185936-1	M.D.Barrett	10769794	species	Q16
Bossiaea alpina I.Thomps.	77121344-1	I.Thomps.	10859904	species	Q16
Bossiaea arcuata J.H.Ross	77073687-1	J.H.Ross	3973628	species	Q16
Bossiaea arenitensis R.L.Barrett	77153349-1	R.L.Barrett	10678389	species	Q16
Bossiaea atrata J.H.Ross	77073692-1	J.H.Ross	3973619	species	Q16
Bossiaea aurantiaca J.H.Ross	77073693-1	J.H.Ross	3973615	species	Q16
Bossiaea barbarae J.H.Ross	77073689-1	J.H.Ross	3973610	species	Q16
Bossiaea barrettiorum J.H.Ross	77073695-1	J.H.Ross	3973607	species	Q16
Bossiaea bombayensis K.L.McDougall	77102387-1	K.L.McDougall	8404139	species	Q16
Bossiaea calcicola J.H.Ross	77073690-1	J.H.Ross	3973590	species	Q16
Bossiaea celata J.H.Ross	77073699-1	J.H.Ross	3973579	species	Q16
Bossiaea eremaea J.H.Ross	77073694-1	J.H.Ross	3973522	species	Q16
Bossiaea flexuosa J.H.Ross	77073697-1	J.H.Ross	3973516	species	Q16
Bossiaea fragrans K.L.McDougall	77102389-1	K.L.McDougall	8176084	species	Q16
