occurrenceID	item	gbifID	eventDate	locality	recordedBy	uri	scientificName	col:institutionCode	countryCode
urn:catalog:JBRJ:RB:539841	Q47639	1424255672	1973-09-21	Fazenda Vareda.	Lima, D.P.		Acacia trijuga Rizzini	RB	BR
urn:catalog:MO:Tropicos:100928421	Q81577	2268829530	1983-04-15	Sin localidad	Eric Hágsater	http://www.tropicos.org/Specimen/100928421	Epidendrum rafael-lucasii Hágsater	AMO	PA
urn:catalog:MO:Tropicos:100928424	Q81603	2268829526	1957-07-13	Serranias de la margen izquierda del río Cacarica, a poca distancia de su decembocadura en el Atrato. Riosucio.	R. Romero Castañeda	http://www.tropicos.org/Specimen/100928424	Epidendrum romero-castannedae Hágsater & L.Sánchez	COL	CO
urn:catalog:MO:Tropicos:100928429	Q81622	2268829080	2007-10	On a hill slope at Boca Chica creek, 5.8 km south east of the community Charco La Pava at the Río Changuinola	Stefan Laube	http://www.tropicos.org/Specimen/100928429	Epidendrum schistostemum Hágsater, Laube & L.Sánchez	PMA	PA
urn:catalog:MO:Tropicos:100928711	Q81651	2268829157	1993-06-11	Volcán Poás-San José	Eric Hágsater;Elizabeth Santiago Ayala	http://www.tropicos.org/Specimen/100928711	Epidendrum stenoselaginella Hágsater & E.Santiago	AMO	CR
urn:catalog:MO:Tropicos:100928900	Q81667	2268829968	1975-10-12	ridge east of Cerro Tute, northwest of Santa Fé	Robert L. Dressler	http://www.tropicos.org/Specimen/100928900	Epidendrum suturatum Hágsater & Dressler	AMO	PA
urn:catalog:MO:Tropicos:100928972	Q81734	2268829207	1982-12-20	entre Río Grande de Atenas y Balsa;colectada por Clarence Kl. Horich 20 Dec. 1982, prensado de material cultivado 13 Oct. 1983	Eric Hágsater	http://www.tropicos.org/Specimen/100928972	Epidendrum vulgoamparoanum Hágsater & L.Sánchez	AMO	CR
urn:catalog:MO:Tropicos:100929025	Q96304	2268829335	2009-07-07	Río Hondo. Cult. Jardín Botánico UNAH, Honduras, Teguciglapa, fl. 15 marzo 2011.	Paul R. House;Hermes Vega;I. Rivera	http://www.tropicos.org/Specimen/100929025	Peniocereus canoensis P.R.House, Gómez-Hin. & H.M.Hern.	MEXU	HN
urn:catalog:MO:Tropicos:100929075	Q84473	2268829984	1980	Tacaruma.	Robert L. Dressler	http://www.tropicos.org/Specimen/100929075	Gongora dressleri Jenny	G	PA
urn:catalog:MO:Tropicos:100929505	Q88067	2268830418	1984-11-09	La Selva, camino a Taus, en la misma ruta al Refugio de Fauna Silvestre Tapantí,	Robert L. Dressler;Dora E. Mora de Retana	http://www.tropicos.org/Specimen/100929505	Kefersteinia excentrica Dressler & Mora-Ret.	USJ	CR
urn:catalog:MO:Tropicos:100929782	Q98289	2268830763	2005-10-07	Pouébo: Mt Mandjelia, at campsite, just below the summit, along the track.	Ulf Swenson;Jérôme Munzinger	http://www.tropicos.org/Specimen/100929782	Pleioluma dioica Swenson & Munzinger	P	NC
urn:catalog:MO:Tropicos:100930000	Q88856	2268831231	2013-05-06	Prov. of Chiriqui: epiphytic in forest above Boquete	Peeters, Peter H.	http://www.tropicos.org/Specimen/100930000	Lepanthes luerorum B.T.Larsen	LISI	PA
urn:catalog:MO:Tropicos:100930048	Q88930	2268830737	2006-12-12	Bajo Chorro, Alto Chiquero, collected by Erick Olmos, without further locality data, flowered in cultivation at Finca Dracula, Cerro Punta, Guadalupe.	Diego Bogarín	http://www.tropicos.org/Specimen/100930048	Lepanthes olmosii Bogarín	PMA	PA
urn:catalog:MO:Tropicos:100930554	Q84047	2268830934	2001-09-30	Corani Lake near the dam	J.R.I. Wood	http://www.tropicos.org/Specimen/100930554	Gentiana woodii J.S.Pringle	LPB	BO
urn:catalog:MO:Tropicos:100930586	Q99714	2268831465	1993-12-07	Corregimiento Altaquer, Vereda El Barro, Reserva Natural Río Ñambí; márgen derecha del Río Ñambí.	Pilar Franco;Diego Giraldo-Cañas;W. Beltrán;Adriana Prieto;O. Rivera	http://www.tropicos.org/Specimen/100930586	Psilochilus francoae Szlach. & Baranow	COL	CO
urn:catalog:MO:Tropicos:100930710	Q91025	2268831186		Culebra, 1000 m, gesammelt von Sr. Erick Olmos, in Kultur bei Sr. Andrés Maduro auf der Finca Dracula in Cerro Punta, Panama, in Kultur in Blüte bei Herrn Ton Sijm in Hem, Niederlande	W. Königer	http://www.tropicos.org/Specimen/100930710	Masdevallia olmosii Königer & Sijm	M	PA
urn:catalog:MO:Tropicos:100930720	Q91216	2268831485	1974-11-16	Vicinity of Continental Divide, third branch of Rio Santa Maria to Drop-off to lowlands 12-15 km. NW of Santa Fe.	Robert L. Dressler	http://www.tropicos.org/Specimen/100930720	Maxillaria chionantha J.T.Atwood	SEL	PA
urn:catalog:MO:Tropicos:100931802	Q105671	2268832695	2016-07-03	18 km E from Puyo, finca Ursula, secondary wet forest	Xavier Cornejo S.;N. Washikiat	http://www.tropicos.org/Specimen/100931802	Ternstroemia washikiatii Cornejo & C.Ulloa	MO	EC
urn:catalog:MO:Tropicos:100932218	Q102219	2268832889	2001-10-28	Andapa, réserve de Marojejy, à 13 km au SE de Doany. Forêt dense humide sempervirente. En tapis dense sur un rocher, dans une vallée encaissée.	France Rakotondrainibe;A. Rasolohery	http://www.tropicos.org/Specimen/100932218	Selaginella rasoloheryi Rakotondr.	P	MG
urn:catalog:MO:Tropicos:100933309	Q93110	2268833879	2006-12-12	Culebra, between rivers Estrella and Changuínola, 1200 m, a plant collected by Erick Olmos, without further locality data, in cultivation at Finca Dracula, Cerro Punta, Chiriquí, Panama	Diego Bogarín	http://www.tropicos.org/Specimen/100933309	Mormolyca culebrica Bogarín & Pupulin	PMA	PA
urn:catalog:MO:Tropicos:100933322	Q94480	2268835377	1942-02-20	Region north of El Valle de Antón	Paul H. Allen	http://www.tropicos.org/Specimen/100933322	Oncidium allenii Dressler	SEL	PA
