typeStatusLabel	typeSpecimen	item.x	item.y
UPS:BOT:V-175663: lectotype of Quercus robur L.	Q47336	Q47335	Q47321
http://n2t.net/ark:/65665/362ebb657-56ad-4846-954c-40707e69452c: holotype of Abutilon chiriquinum A.Robyns	Q47440	Q47429	Q47316
http://n2t.net/ark:/65665/344fb58d2-6252-4bb3-9832-9de4bddbdc13: holotype of Abutilon durangense Rose & York	Q47444	Q47438	Q47316
BRA:IBT:SP:427086: holotype of Abutilon costicalyx K.Schum. ex C.Takeuchi & G.L.Esteves	Q47446	Q47431	Q47316
http://n2t.net/ark:/65665/3fa9cff95-cc1c-4fee-a933-65f95bb2ce63: isotype of Abutilon esculentum A.St.-Hil.	Q47451	Q47339	Q47323
4331301: isotype of Abutilon esculentum A.St.-Hil.	Q47453	Q47339	Q47323
gbif:2451317635: holotype of Abutilon cinereum Griseb.	Q52456	Q47430	Q47316
gbif:1638359977: holotype of Abutilon cinereum Griseb.	Q52457	Q47430	Q47316
BRA:IBT:SP:345993: holotype of Abutilon latipetalum G.L.Esteves & Krapov.	Q52458	Q47462	Q47316
2a24c4cf-8c1a-4d38-8924-30dff87a0ce5: holotype of Abutilon glabriflorum Hochr.	Q52460	Q47456	Q47316
39679f1b-1358-4d68-ae2f-495f1f7b555b: holotype of Abutilon grandidentatum Fryxell	Q52461	Q47457	Q47316
447d2f10-257c-41d6-971c-96046a6a1b1f: isotype of Abutilon holosericeum Scheele	Q52462	Q47458	Q47323
248b2d5c-335d-4d54-bb34-35e9105a61e0: isotype of Abutilon holosericeum Scheele	Q52463	Q47458	Q47323
a95fed61-fc7b-4699-90e0-e6f4d3bb2254: isotype of Abutilon holosericeum Scheele	Q52465	Q47458	Q47323
91d785d8-c17a-442a-a401-e8a3a4acd0bb: isotype of Abutilon holosericeum Scheele	Q52466	Q47458	Q47323
http://n2t.net/ark:/65665/3275bab99-bd01-4566-82a7-21d4f4d4631d: isotype of Abutilon holosericeum Scheele	Q52467	Q47458	Q47323
http://n2t.net/ark:/65665/31d75d107-e177-4059-a280-63fe54a40c2e: isotype of Abutilon holosericeum Scheele	Q52468	Q47458	Q47323
http://n2t.net/ark:/65665/3c889b9b0-d70e-47df-90b6-111216db54e6: holotype of Abutilon holwayi Rose	Q52469	Q47459	Q47316
0431c3c1-ba58-4a61-99ca-c2a82952c4ca: holotype of Abutilon jaliscanum Standl.	Q52470	Q47460	Q47316
d0547cd7-f5a2-4b78-98b6-d8498c5e16ed: lectotype of Abutilon lateritium Ulbr.	Q52471	Q47461	Q47321
http://n2t.net/ark:/65665/3414d91b3-1e8c-498b-a749-0d3f6c0ede05: holotype of Abutilon macdougalii Rose & Standl.	Q52472	Q47464	Q47316
d0e16aa4-6b44-4f9f-99bc-134d681b3075: lectotype of Abutilon lemmonii S.Watson	Q52473	Q47463	Q47321
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00389227: isotype of Abutilon fruticosum Guill. & Perr.	Q52474	Q47455	Q47323
BRA:IBT:SP:299525: isotype of Abutilon nigricans G.L.Esteves & Krapov.	Q52475	Q47469	Q47323
BRA:UNICAMP:UEC:83954: holotype of Abutilon nigricans G.L.Esteves & Krapov.	Q52476	Q47469	Q47316
613f839b-549c-4161-b356-769a8fb98990: lectotype of Abutilon malacum S.Watson	Q52477	Q47466	Q47321
c1eb8bf0-1422-444c-9b2c-7dd4311b061d: lectotype of Abutilon malacum S.Watson	Q52478	Q47466	Q47321
urn:catalog:MO:Tropicos:100337351: holotype of Abutilon macvaughii Fryxell	Q52479	Q47465	Q47316
39f9341b-d3a1-4626-a743-694e2d02831a: holotype of Abutilon macvaughii Fryxell	Q52480	Q47465	Q47316
45373878-630a-4a03-8347-4655e9a2bcf7: holotype of Abutilon mochisense Hochr.	Q52481	Q47467	Q47316
15895c01819d863e3ad53b53b0324cfb: holotype of Abutilon mucronatum J.E.Fryxell	Q52482	Q47468	Q47316
43e658a5-0e41-4611-8003-a5f8ef992fce: lectotype of Abutilon notolophium A.Gray	Q52483	Q47470	Q47321
137f2354-5ea7-4d0c-a3a1-060ea9548e61: holotype of Abutilon orientale Standl. & Steyerm.	Q52484	Q47471	Q47316
http://n2t.net/ark:/65665/339282020-cf4b-46eb-822d-eacd781c964e: isotype of Abutilon pachecoanum Standl. & Steyerm.	Q52485	Q47472	Q47323
fc7d94b8-c30e-4ec9-b38e-706609c87f9c: holotype of Abutilon percaudatum Hochr.	Q52486	Q47474	Q47316
gbif:1638359952: holotype of Abutilon paranthemoides Griseb.	Q52487	Q47473	Q47316
1cfdc43d-f0b4-4171-99d7-22291e4b2145: lectotype of Abutilon pionense Ulbr.	Q52488	Q47476	Q47321
ff411b5697456aee5db0cc286d3aa9ce: holotype of Abutilon procerum Fryxell	Q52489	Q47478	Q47316
838868be-9713-4fa5-b711-433f32f78495: holotype of Abutilon pinkavae Fryxell	Q52490	Q47475	Q47316
http://n2t.net/ark:/65665/3085cd06a-a3b8-4157-b8ee-104d14b2bf33: holotype of Abutilon pittieri Donn.Sm.	Q52491	Q47477	Q47316
