item	wfo_id
Q47335	wfo-0000292858
Q47339	wfo-0000511886
Q47340	wfo-0000743270
Q47341	wfo-0000194188
Q47342	wfo-0000194234
Q47343	wfo-0000194022
Q47344	wfo-0001320042
Q47345	wfo-0001319025
Q47346	wfo-0000194004
Q47347	wfo-0000194012
Q47349	wfo-0001409594
Q47350	wfo-0000743271
Q47351	wfo-0001320046
Q47352	wfo-0000194013
Q47358	wfo-0000967605
Q47363	wfo-0001381181
Q47364	wfo-0000510753
Q47365	wfo-0000510767
Q47366	wfo-0000510771
Q47368	wfo-0000510999
Q47369	wfo-0000511083
Q47370	wfo-0000511179
Q47371	wfo-0000511189
Q47373	wfo-0000336882
Q47375	wfo-0000336935
Q47376	wfo-0000336989
Q47377	wfo-0001315372
Q47378	wfo-0001278396
Q47379	wfo-0001278397
Q47380	wfo-0001315373
Q47381	wfo-0001278398
Q47382	wfo-0001278399
Q47383	wfo-0001278400
Q47384	wfo-0001278401
Q47385	wfo-0001278408
Q47386	wfo-0001248690
Q47387	wfo-0001278409
Q47388	wfo-0001278410
Q47389	wfo-0001248752
Q47390	wfo-0001315374
Q47391	wfo-0001278416
Q47392	wfo-0001278421
Q47393	wfo-0001278417
Q47394	wfo-0001278419
Q47407	wfo-0000511571
Q47395	wfo-0001278402
Q47397	wfo-0001347390
Q47398	wfo-1000040972
Q47399	wfo-0000337001
Q47400	wfo-0000511514
Q47401	wfo-0000511519
Q47402	wfo-0000511525
Q47403	wfo-0000511553
Q47409	wfo-0000073859
Q47410	wfo-0000087152
Q47411	wfo-0000124261
Q47412	wfo-0000127935
Q47413	wfo-0000019593
Q47414	wfo-0000511635
Q47415	wfo-0000511643
Q47416	wfo-0000511658
Q47418	wfo-0000511737
Q47419	wfo-0000511742
Q47420	wfo-0000511757
Q47421	wfo-0000511759
Q47426	wfo-0000511800
Q47429	wfo-0000511809
Q47430	wfo-0000511812
Q47438	wfo-0000511869
Q47455	wfo-0000511912
Q47456	wfo-0000511931
Q47457	wfo-0000511939
Q47458	wfo-0000511974
Q47459	wfo-0000511976
Q47460	wfo-0000512018
Q47461	wfo-0000512028
Q47462	wfo-0000512029
Q47463	wfo-0000512035
Q47464	wfo-0000512058
Q47465	wfo-0000512066
Q47466	wfo-0000512070
Q47467	wfo-0000512105
Q47468	wfo-0000512117
Q47469	wfo-0000512133
Q47470	wfo-0000512138
Q47471	wfo-0000512147
Q47472	wfo-0000512157
Q47473	wfo-0000512164
Q47474	wfo-0000512181
Q47475	wfo-0000512197
Q47476	wfo-0000512198
Q47477	wfo-0000512200
Q47478	wfo-0000512213
Q47479	wfo-0000512228
Q47480	wfo-0000512231
Q47481	wfo-0000512270
Q47482	wfo-0000512276
Q47483	wfo-0000512285
Q47484	wfo-0000512298
Q47485	wfo-0000512299
Q47486	wfo-0000512304
Q47487	wfo-0000512309
Q47488	wfo-0000512321
Q47489	wfo-0000512330
Q47490	wfo-0000512342
Q47491	wfo-0000512351
Q47492	wfo-0000512384
Q47493	wfo-0000512388
Q47494	wfo-0000512390
Q47495	wfo-0001345338
Q47496	wfo-0000164223
Q47497	wfo-0000202470
Q47498	wfo-0001443466
Q47499	wfo-0001338392
Q47500	wfo-0001376300
Q47501	wfo-0001409600
Q47502	wfo-0001338397
Q47503	wfo-0001334467
Q47504	wfo-0001270480
Q47505	wfo-0000506239
Q47506	wfo-1000055531
Q47507	wfo-0001360669
Q47508	wfo-0000202951
Q47509	wfo-0000196004
Q47510	wfo-0000743287
Q47511	wfo-0001443468
Q47512	wfo-0001341995
Q47513	wfo-0001444222
Q47514	wfo-0000508238
Q47515	wfo-0000506240
Q47516	wfo-0000508239
Q47517	wfo-0001425472
Q47518	wfo-0001338393
Q47519	wfo-0001361348
Q47520	wfo-0001061627
Q47521	wfo-0001348021
Q47522	wfo-0001278363
Q47523	wfo-0001443472
Q47524	wfo-0000202938
Q47525	wfo-0001341993
Q47526	wfo-0000508240
Q47527	wfo-0001341994
Q47528	wfo-0000182077
Q47529	wfo-0001443473
Q47530	wfo-0000201889
Q47531	wfo-0001443474
Q47532	wfo-0001443475
Q47533	wfo-0001358736
Q47534	wfo-0000512553
Q47539	wfo-0001270694
Q47541	wfo-0001278366
Q47544	wfo-0001270736
Q47535	wfo-0000508242
Q47536	wfo-0001338394
Q47537	wfo-0001341997
Q47538	wfo-0001443477
Q47540	wfo-0001342002
Q47542	wfo-0001239492
Q47543	wfo-0001341945
Q47545	wfo-0001061380
Q47546	wfo-0000172462
Q47547	wfo-0000508243
Q47548	wfo-0001443479
Q47549	wfo-0001341996
Q47550	wfo-0000508244
Q47551	wfo-0001334468
Q47552	wfo-1200001859
Q47553	wfo-0001338340
Q47554	wfo-0001281279
Q47555	wfo-0000508245
Q47556	wfo-0001341990
Q47557	wfo-0000512641
Q47558	wfo-0000163836
Q47559	wfo-0000176038
Q47560	wfo-0000172467
Q47561	wfo-0001361309
Q47562	wfo-0000508246
Q47563	wfo-0000508247
Q47564	wfo-0001404777
Q47565	wfo-0000178874
Q47566	wfo-0000508248
Q47567	wfo-0001341998
Q47568	wfo-0001359466
Q47569	wfo-0001341999
Q47570	wfo-0001345339
Q47571	wfo-0001342003
Q47572	wfo-0000746082
Q47573	wfo-0000508249
Q47574	wfo-0001383552
Q47575	wfo-0001383550
Q47576	wfo-0001383549
Q47577	wfo-0001281291
Q47578	wfo-0001281292
Q47579	wfo-0000164725
Q47580	wfo-0001342001
Q47581	wfo-0001425471
Q47582	wfo-0000506243
Q47583	wfo-0000167268
Q47584	wfo-0000508250
Q47585	wfo-0000184890
Q47586	wfo-0000164735
Q47587	wfo-0001334469
Q47588	wfo-0000508251
Q47589	wfo-0000508252
Q47590	wfo-0001443483
Q47591	wfo-0000182719
Q47592	wfo-0001338398
Q47593	wfo-0001233074
Q47594	wfo-0001338399
Q47595	wfo-0001267944
Q47596	wfo-0001443485
Q47597	wfo-0001443486
Q47598	wfo-0000179608
Q47599	wfo-0001361699
Q47600	wfo-0001338400
Q47601	wfo-0000512822
Q47602	wfo-0001342004
Q47603	wfo-0001338395
Q47604	wfo-0001279314
Q47605	wfo-0000196022
Q47606	wfo-0001409611
Q47607	wfo-0001382971
Q47608	wfo-0000173774
Q47609	wfo-0001338401
Q47610	wfo-0001425473
Q47611	wfo-0001280671
Q47612	wfo-0001284448
Q47613	wfo-0000508253
Q47614	wfo-0000743289
Q47615	wfo-0000164228
Q47616	wfo-0001376379
Q47617	wfo-0001233073
Q47618	wfo-0000164757
Q47619	wfo-0000512903
Q47620	wfo-0001341991
Q47621	wfo-0001271205
Q47622	wfo-0000179872
Q47623	wfo-0000743290
Q47624	wfo-0000506248
Q47625	wfo-0000512948
Q47626	wfo-0000508254
Q47627	wfo-0001361349
Q47628	wfo-0000743291
Q47629	wfo-0000508255
Q47630	wfo-0000508256
Q47631	wfo-0000508258
Q47632	wfo-0001338396
Q47633	wfo-0000508259
Q47634	wfo-0000508260
Q47635	wfo-0000176008
Q47641	wfo-0001271285
Q47636	wfo-0000187511
Q47637	wfo-0001443491
Q47638	wfo-0000508261
Q47639	wfo-0000164230
Q47640	wfo-0000508262
Q47642	wfo-0001271286
Q47643	wfo-0000508263
Q47644	wfo-1000002941
Q47645	wfo-0000508264
Q47646	wfo-0001271324
Q47647	wfo-0000743293
Q47648	wfo-0001443495
Q47649	wfo-0000508265
Q47650	wfo-0001443496
Q47651	wfo-0000182404
Q47652	wfo-0000506251
Q47653	wfo-0001383031
Q47654	wfo-0000243034
Q47655	wfo-1000020303
Q47656	wfo-1000041663
Q47657	wfo-0000834738
Q47658	wfo-1000003052
Q47659	wfo-0000807386
Q47660	wfo-0000696970
Q47661	wfo-0000722660
Q47662	wfo-1000041664
Q47663	wfo-0000776446
Q47664	wfo-0000779420
Q47665	wfo-0000804668
Q47666	wfo-0000805714
Q47667	wfo-0000876566
Q47668	wfo-0000807387
Q47669	wfo-0000911155
Q47670	wfo-0000807388
Q47671	wfo-0000932491
Q47672	wfo-0000834991
Q47673	wfo-0000940707
Q47674	wfo-1000020860
Q47675	wfo-0000943296
Q47676	wfo-0000943577
Q47677	wfo-0000953123
Q47678	wfo-1000003054
Q47679	wfo-1000020861
Q47680	wfo-0000959671
Q47681	wfo-1000020862
Q47682	wfo-0000964426
Q47683	wfo-0001336061
Q47684	wfo-1000041666
Q47685	wfo-1000020863
Q47686	wfo-1000054569
Q47687	wfo-1000020864
Q47688	wfo-0000977473
Q47689	wfo-0000980524
Q47690	wfo-0000980848
Q47691	wfo-0000217823
Q47692	wfo-1000020865
Q47693	wfo-0000227376
Q47694	wfo-0000337004
Q47695	wfo-0000233473
Q47706	wfo-0001303133
Q47707	wfo-0001303158
Q47708	wfo-0001404799
Q47709	wfo-0000265728
Q47710	wfo-0000743296
Q47711	wfo-0000508266
Q47712	wfo-0000807391
Q47713	wfo-0000279960
Q47714	wfo-1000020868
Q47715	wfo-0000513784
Q47696	wfo-0000337005
Q47697	wfo-0000239945
Q47698	wfo-1000020866
Q47699	wfo-0000246988
Q47700	wfo-0000248699
Q47701	wfo-0000249665
Q47702	wfo-0000253634
Q47703	wfo-0000916919
Q47704	wfo-0000513087
Q47705	wfo-0000745828
Q47726	wfo-0000081910
Q47727	wfo-0000117198
Q47728	wfo-0000515953
Q47729	wfo-0001363535
Q47730	wfo-0000036433
Q47731	wfo-0000042097
Q47732	wfo-0000092435
Q47733	wfo-0000515959
Q47734	wfo-0000516024
Q47735	wfo-0000516059
Q47720	wfo-0000513927
Q47722	wfo-0000514008
Q47724	wfo-0000515307
Q47725	wfo-0000075136
Q47716	wfo-0000506261
Q47717	wfo-0000506262
Q47718	wfo-0000506264
Q47719	wfo-0000746128
Q47721	wfo-1000001275
Q47736	wfo-0000841248
Q47737	wfo-0000841150
Q47738	wfo-0000841175
Q47739	wfo-0000289253
Q47740	wfo-0000291539
Q47741	wfo-0000293753
Q47742	wfo-0000296698
Q47743	wfo-0000299460
Q47744	wfo-0000042859
Q47745	wfo-0000130888
Q47746	wfo-0000074912
Q47747	wfo-0000024330
Q47748	wfo-0000063601
Q47749	wfo-0000042186
Q47750	wfo-0001329365
Q47751	wfo-0000101094
Q47752	wfo-0000841339
Q47753	wfo-0001343803
Q47754	wfo-0001343804
Q47755	wfo-0001043209
Q47756	wfo-0000807393
Q47757	wfo-0001329152
Q47758	wfo-0000807394
Q47759	wfo-0000337157
Q47760	wfo-0000916958
Q47761	wfo-0001317918
Q47762	wfo-0001279958
Q47763	wfo-0000916955
Q47764	wfo-0001317919
Q47765	wfo-0000804866
Q47766	wfo-0000807398
Q47767	wfo-1000035360
Q47768	wfo-1000035528
Q47769	wfo-1000052507
Q47770	wfo-0000804867
Q47771	wfo-0001338437
Q47772	wfo-0000048635
Q47773	wfo-0000337327
Q47774	wfo-0000337328
Q47775	wfo-0000337329
Q47776	wfo-0000822499
Q47777	wfo-0001259967
Q47778	wfo-0001240945
Q47779	wfo-0001259966
Q47780	wfo-0001249517
Q47781	wfo-1000029451
Q47782	wfo-0000516682
Q47783	wfo-0000328352
Q47784	wfo-0000516780
Q47785	wfo-0000516781
Q47786	wfo-0001409622
Q47787	wfo-0001409623
Q47788	wfo-0000045605
Q47789	wfo-0000134467
Q47790	wfo-0000137196
Q47792	wfo-0000184506
Q47793	wfo-0000184530
Q47794	wfo-0000363686
Q47795	wfo-0000034148
Q47796	wfo-0000043919
Q47797	wfo-0000131004
Q47799	wfo-0000070459
Q47800	wfo-0000123915
Q47802	wfo-0000115129
Q47803	wfo-0000038603
Q47804	wfo-0000129835
Q47805	wfo-0000038081
Q47806	wfo-0000043740
Q47807	wfo-0000059397
Q47808	wfo-0000128492
Q47819	wfo-0000000643
Q47820	wfo-0000125159
Q47821	wfo-0000038071
Q47822	wfo-0000030119
Q47823	wfo-0001409626
Q47824	wfo-0000030357
Q47825	wfo-0000373760
Q47826	wfo-0000518536
Q47827	wfo-0000807422
Q47828	wfo-0000416232
Q47809	wfo-0000010074
Q47811	wfo-0000028484
Q47813	wfo-0000137407
Q47814	wfo-0000000111
Q47815	wfo-0000114242
Q47816	wfo-0001409625
Q47810	wfo-0000125668
Q47817	wfo-0000095389
Q47818	wfo-0000137128
Q47830	wfo-0000132084
Q47831	wfo-0000024547
Q47832	wfo-0000132021
Q47833	wfo-0000094634
Q47835	wfo-0000027684
Q47836	wfo-0000046696
Q47837	wfo-0000003756
Q47838	wfo-0000064280
Q47839	wfo-0000916536
Q47840	wfo-0000518646
Q47841	wfo-0000518741
Q47842	wfo-0000518745
Q47843	wfo-0000518759
Q47844	wfo-0000518763
Q47845	wfo-0000518765
Q47846	wfo-0000804908
Q47847	wfo-0000804931
Q47848	wfo-0000804979
Q47849	wfo-0000805000
Q47850	wfo-0000805002
Q47851	wfo-0000805006
Q47852	wfo-0000805010
Q47853	wfo-0000807423
Q47854	wfo-0000805061
Q47855	wfo-0000807424
Q47856	wfo-0001329155
Q47857	wfo-0000506267
Q47858	wfo-0000518901
Q47859	wfo-0000506268
Q47860	wfo-0000518903
Q47861	wfo-0000518909
Q47862	wfo-1000001277
Q47863	wfo-0000518910
Q47864	wfo-0000518911
Q47865	wfo-0000518912
Q47866	wfo-0000518914
Q47867	wfo-1000001278
Q47868	wfo-0001343194
Q47869	wfo-0000506269
Q47870	wfo-0000506270
Q47871	wfo-0000518918
Q47872	wfo-0000506272
Q47873	wfo-0000546501
Q47874	wfo-0001121965
Q47875	wfo-0001224061
Q47876	wfo-0001274975
Q47877	wfo-0001109871
Q47878	wfo-0000508286
Q47879	wfo-0000745974
Q47880	wfo-1000055532
Q47881	wfo-0000519049
Q47882	wfo-0000519072
Q47883	wfo-1200096639
Q47884	wfo-0000805167
Q47885	wfo-1200096640
Q47886	wfo-0000805169
Q47887	wfo-0000805170
Q47888	wfo-0000805171
Q47889	wfo-0000129826
Q47890	wfo-0000128231
Q47891	wfo-0000034174
Q47892	wfo-0000058986
Q47893	wfo-0000127253
Q47894	wfo-0000519297
Q47895	wfo-0000805172
Q47896	wfo-1000039907
Q47897	wfo-0000805173
Q47898	wfo-0000921079
Q47899	wfo-0000921077
Q47900	wfo-0000805174
Q47901	wfo-0000916676
Q47902	wfo-0000916779
Q47903	wfo-0001344947
Q47904	wfo-0001344948
Q47905	wfo-0001344949
Q47906	wfo-0001344950
Q47907	wfo-0000089562
Q47908	wfo-0001343714
Q47909	wfo-0000751670
Q47910	wfo-0000337420
Q47911	wfo-0000519676
Q47912	wfo-1000020329
Q47913	wfo-1000020330
Q47914	wfo-1000020331
Q47915	wfo-0001082109
Q47916	wfo-0000162412
Q47917	wfo-0001081905
Q47918	wfo-0001082002
Q47919	wfo-0001344300
Q47920	wfo-0001081014
Q47925	wfo-0000519837
Q47926	wfo-0000519894
Q47927	wfo-0000519897
Q48208	wfo-0000754688
Q48209	wfo-0000754761
Q48213	wfo-0000791049
Q48214	wfo-0001360580
Q48215	wfo-0001360581
Q48227	wfo-0000069737
Q48228	wfo-0000015882
Q48229	wfo-0000132425
Q48230	wfo-0000128181
